subject_id,config_id,algorithm,representation,constraint_handler,seed,runtime_s,f1_best,f2_best,front_size,hypervolume,igd,spacing,delta_spread
1,nsga2_di_repair,NSGA-II,direct_index,repair,123,1.3827985410025576,1503.9500000000003,198.49878277069044,80,1538214.057439391,109.2809997767615,87.61354847140969,0.710114410367424
1,nsga2_di_repair,NSGA-II,direct_index,repair,124,1.3941371669934597,1710.9500000000003,228.9562739233719,80,1302501.6597319045,136.8552589211377,84.37662759054781,0.7174477738732492
1,nsga2_di_repair,NSGA-II,direct_index,repair,125,1.3981833750003716,1747.5700000000002,207.0248805889494,80,1639402.6521721971,169.14471705421698,157.9902278229947,0.8192360490593333
1,nsga2_di_repair,NSGA-II,direct_index,repair,126,1.3729712080094032,2380.9500000000003,132.5198965150233,80,1391359.424491939,286.68428528863615,89.80908024993056,0.8231588880064036
1,nsga2_di_repair,NSGA-II,direct_index,repair,127,1.3778137089975644,2427.57,172.71630955907648,80,1031232.9139055745,305.9513872023549,109.65832934659278,0.8378088403965297
1,nsga2_di_repair,NSGA-II,direct_index,repair,128,1.3700554589886451,1746.5700000000002,204.86386841921416,80,1606698.7822549301,149.417690511668,160.01696285568252,0.9012538930818196
1,nsga2_di_repair,NSGA-II,direct_index,repair,129,1.413089666995802,1550.3300000000004,300.2301393408512,80,2562326.6287812004,131.80915555756127,180.26940065155847,0.8957477835923855
1,nsga2_rk_repair,NSGA-II,random_key,repair,100,1.4613487499882467,1895.3300000000004,163.14604667103242,80,1485836.4803102764,186.1353021628569,216.86962344921338,0.8957729412641885
1,nsga2_rk_repair,NSGA-II,random_key,repair,101,1.5018663329974515,1096.9500000000003,226.79194841097387,80,1535040.2386570156,82.37118443898024,97.13734201688044,0.7820746810725764
1,nsga2_rk_repair,NSGA-II,random_key,repair,102,1.506559000001289,1515.9500000000003,308.1396384266573,80,2369447.400532742,123.90973425646688,132.7941406636341,0.771134733265895
1,nsga2_rk_repair,NSGA-II,random_key,repair,103,1.4762477920012316,1595.3300000000004,260.4585773127415,80,2706449.9359305776,203.67776031215286,401.2630694821819,0.9538304695515305
1,nsga2_rk_repair,NSGA-II,random_key,repair,104,1.5018147500086343,1464.9500000000003,214.54924788068843,80,1315389.2263137205,159.06209615366566,89.61667984138022,0.7567287317744863
1,nsga2_rk_repair,NSGA-II,random_key,repair,105,1.4504077500023413,1461.9500000000003,221.32022683423077,80,1731529.2098848363,102.84540145053448,153.64293038410284,0.8419137894715976
1,nsga2_rk_repair,NSGA-II,random_key,repair,106,1.496608749992447,1800.9500000000003,212.1426725712255,80,1296917.809863442,139.81447169183159,120.55600024032675,0.8049529422069359
1,nsga2_rk_repair,NSGA-II,random_key,repair,107,1.4736863750003977,1433.19,253.452501582933,80,1745433.196738806,123.61409446607418,163.4550638703538,0.9160609593387546
1,nsga2_rk_repair,NSGA-II,random_key,repair,108,1.4784491669997806,1463.9500000000003,262.9742309019585,80,1720325.9036688318,133.60031944121087,104.43076877447908,0.8351366412019412
